SURVEY_SERIES_ID,BLOCK_DESIGNATION,LATITUDE,LONGITUDE,DEPTH_M,GROUPING_CODE,SELECTION_IND,SELECTION_ID,SELECTION_TYPE_CODE,FE_MAJOR_LEVEL_ID,STATUS_CODE,NUM_FISHING_ATTEMPTS,SITE_STATUS_DESCRIPTION
43,12178,54.00639,-133.6708,-736,63,1,1,1,88,6,1,Successfully fished on first attempt
43,12209,53.96937,-133.6971,-1080,64,1,1,1,87,6,1,Successfully fished on first attempt
43,12222,53.94664,-133.8166,-1125,64,1,2,1,NULL,15,0,15: Fishing not attempted (or re-attempted) for logistical reasons; remains in sampling frame
43,12309,53.87112,-133.4425,-259,62,1,1,1,86,6,1,Successfully fished on first attempt
43,12353,53.81847,-133.4065,-310,62,1,1,1,85,6,1,Successfully fished on first attempt
43,12374,53.77925,-133.4935,-898,64,1,1,1,84,6,1,Successfully fished on first attempt
43,12404,53.72996,-133.3669,-756,63,1,1,1,83,6,1,Successfully fished on first attempt
43,12424,53.69953,-133.2122,-206,62,1,1,1,82,6,1,Successfully fished on first attempt
43,12522,53.50019,-133.2527,-930,64,1,1,1,81,6,1,Successfully fished on first attempt
43,12575,53.41267,-133.1837,-707,63,1,1,1,80,6,1,Successfully fished on first attempt
43,12596,53.40092,-133.0019,-462,63,1,1,1,79,6,1,Successfully fished on first attempt
43,12638,53.3461,-133.0269,-284,62,1,1,1,78,6,1,Successfully fished on first attempt
43,12738,53.23647,-133.0765,-715,63,1,1,1,77,6,1,Successfully fished on first attempt
43,12789,53.1857,-132.9818,-774,63,1,1,1,76,6,1,Successfully fished on first attempt
43,90001,54.65765,-130.5103,NULL,441,1,99,1,NULL,15,0,15: Fishing not attempted (or re-attempted) for logistical reasons; remains in sampling frame
43,90002,54.71328,-130.4227,NULL,441,1,99,1,NULL,15,0,15: Fishing not attempted (or re-attempted) for logistical reasons; remains in sampling frame
43,90003,54.76557,-130.3533,NULL,441,1,99,1,NULL,15,0,15: Fishing not attempted (or re-attempted) for logistical reasons; remains in sampling frame
43,90004,54.80543,-130.268,NULL,441,1,99,1,NULL,15,0,15: Fishing not attempted (or re-attempted) for logistical reasons; remains in sampling frame
43,90005,54.87747,-130.184,NULL,441,1,99,1,NULL,15,0,15: Fishing not attempted (or re-attempted) for logistical reasons; remains in sampling frame
43,90006,53.10931,-129.3551,NULL,368,1,99,1,NULL,15,0,15: Fishing not attempted (or re-attempted) for logistical reasons; remains in sampling frame
43,90007,53.18827,-129.3778,NULL,368,1,99,1,NULL,15,0,15: Fishing not attempted (or re-attempted) for logistical reasons; remains in sampling frame
43,90008,53.32415,-129.3056,NULL,368,1,99,1,NULL,15,0,15: Fishing not attempted (or re-attempted) for logistical reasons; remains in sampling frame
43,90009,53.18033,-129.1227,NULL,368,1,99,1,NULL,15,0,15: Fishing not attempted (or re-attempted) for logistical reasons; remains in sampling frame
43,90010,53.10971,-129.1162,NULL,368,1,99,1,NULL,15,0,15: Fishing not attempted (or re-attempted) for logistical reasons; remains in sampling frame
43,90011,52.51091,-128.4562,NULL,338,1,99,1,97,6,1,Successfully fished on first attempt
43,90012,52.5733,-128.4652,NULL,338,1,99,1,96,6,1,Successfully fished on first attempt
43,90013,52.65948,-128.4702,NULL,338,1,99,1,95,6,1,Successfully fished on first attempt
43,90014,52.71701,-128.457,NULL,338,1,99,1,94,6,1,Successfully fished on first attempt
43,90015,52.78841,-128.4364,NULL,338,1,99,1,93,6,1,Successfully fished on first attempt
43,90016,52.12508,-127.6094,NULL,335,1,99,1,NULL,15,0,15: Fishing not attempted (or re-attempted) for logistical reasons; remains in sampling frame
43,90017,52.21898,-127.4171,NULL,335,1,99,1,NULL,15,0,15: Fishing not attempted (or re-attempted) for logistical reasons; remains in sampling frame
43,90018,52.27132,-127.2591,NULL,335,1,99,1,NULL,15,0,15: Fishing not attempted (or re-attempted) for logistical reasons; remains in sampling frame
43,90019,52.44598,-127.2603,NULL,335,1,99,1,NULL,15,0,15: Fishing not attempted (or re-attempted) for logistical reasons; remains in sampling frame
43,90020,52.34795,-127.4712,NULL,335,1,99,1,NULL,15,0,15: Fishing not attempted (or re-attempted) for logistical reasons; remains in sampling frame
