"YEAR","TRIP_ID","set_no","becket_no","TDR","AXL","CTD","CAM","DO"
2022,86530,83,14,0,0,0,1,0
2022,86530,84,14,0,0,0,1,0
2022,86530,84,14,1,0,0,0,0
2022,86530,84,14,0,1,0,0,0
2022,86530,85,13,1,0,0,0,0
2022,86530,86,13,1,0,0,0,0
2022,86530,87,13,1,0,0,0,0
2022,86530,88,13,1,0,0,0,0
2022,86530,89,13,1,0,0,0,0
2022,86530,90,13,0,0,0,1,0
2022,86530,90,13,1,0,0,0,0
2022,86530,90,13,0,1,0,0,0
2022,86530,91,14,1,0,0,0,0
2022,86530,91,14,0,0,0,1,0
2022,86530,91,14,0,1,0,0,0
2022,86530,92,13,1,0,0,0,0
2022,86530,93,13,1,0,0,0,0
2022,86530,94,13,1,0,0,0,0
2022,86530,95,13,1,0,0,0,0
2022,86530,96,13,1,0,0,0,0
2022,86530,97,13,1,0,0,0,0
