"YearGroups","<10 km","11-50 km","51-100 km","101-250 km","251-500 km","501-1000 km",">1000 km"
"Grp1.  1",38,23,8,8,1,,
"Grp2.  2-5",83,41,13,38,28,2,4
"Grp3.  6-10",21,13,3,16,8,3,1
"Grp4.  11+",24,21,8,12,6,1,2
