"SPECIES_COMMON_NAME","SPECIES_SCIENCE_NAME","catchkg"
"Lingcod","OPHIODON ELONGATUS",1242.42
"Spiny dogfish","SQUALUS ACANTHIAS",1214.15
"Pacific halibut","HIPPOGLOSSUS STENOLEPIS",859.25
"Rougheye/blackspotted rockfish complex","SEBASTES ALEUTIANUS",390.16
"Redbanded rockfish","SEBASTES BABCOCKI",228.08
