"Year","DEPTH_STRATUM","SPATIAL_STRATUM","sets"
2022,,,6
2022,,"Finlayson Channel",5
2022,"RD1","S1",6
2022,"RD2","S1",8
2022,"RD3","S1",5
2022,"RD1","S2",6
2022,"RD2","S2",7
2022,"RD3","S2",5
2022,"RD1","S3",6
2022,"RD2","S3",6
2022,"RD3","S3",3
2022,"RD1","S4",6
2022,"RD2","S4",6
2022,"RD3","S4",5
2022,"RD1","S5",6
2022,"RD2","S5",7
2022,"RD3","S5",4
