"SABLE_SET_TYPE","count","tagagainlive","tagdead","tagrelease","taglengthsample","samplecount"
"INLET STANDARDIZED",2263,5,0,595,593,256
"NO SET TYPE",7666,0,17,0,17,17
"StRS",45500,97,3,8795,8784,4406
